StockSymbol,StockName,ShareholdingRatio%
1101,台泥,1.21
1102,亞泥,0.82
1216,統一,2.16
1301,台塑,4.6
1303,南亞,4.09
1326,台化,3.11
1402,遠東新,1.14
1722,台肥,0.48
2002,中鋼,2.73
2015,正新,1.42
2201,裕隆,0.58
2207,和泰車,0.76
2301,光寶科,0.79
2303,聯電,1.47
2308,台達電,2.15
2311,2311,1.43
2317,鴻海,7.92
2324,仁寶,1.09
2325,2325,0.92
2330,台積電,18.78
2347,聯強,0.9
2353,宏碁,0.68
2354,鴻準,1.07
2357,華碩,1.9
2382,廣達,1.87
2409,友達,0.67
2412,中華電,3.11
2454,聯發科,2.92
2474,可成,0.94
2498,宏達電,2.16
2801,彰銀,0.58
2880,華南金,0.94
2881,富邦金,1.92
2882,國泰金,2.09
2883,開發金,0.97
2885,元大金,1.26
2886,兆豐金,1.87
2890,永豐金,0.83
2891,中信金,1.84
2892,第一金,0.96
2912,統一超,1.17
3008,大立光,0.57
3045,台灣大,1.6
3231,緯創,0.61
3481,群創,0.54
3673,TPK-KY,0.73
3697,3697,1.01
4904,遠傳,1.09
5880,合庫金,0.79
6505,台塑化,1.51
